"GID_2","GID_0","COUNTRY","GID_1","NAME_1","NAME_2","district_label","H","E","V","CCRI_multiplicative","CCRI_norm"
"BGD.4.10_1","BGD","Bangladesh","BGD.4_1","Khulna","Satkhira","Satkhira",1,0.45,0.9,0.405,100
"BGD.4.5_1","BGD","Bangladesh","BGD.4_1","Khulna","Khulna","Khulna",0.861182073273695,0.55,0.85,0.402602619255453,99.4080541371488
"BGD.4.1_1","BGD","Bangladesh","BGD.4_1","Khulna","Bagerhat","Bagerhat",0.747239595501714,0.4,0.82,0.245094587324562,60.5171820554474
"BGD.1.6_1","BGD","Bangladesh","BGD.1_1","Barisal","Pirojpur","Pirojpur",0.596644872037691,0.48,0.75,0.214792153933569,53.0350997366837
"BGD.1.1_1","BGD","Bangladesh","BGD.1_1","Barisal","Barguna","Barguna",0.512028957204595,0.38,0.72,0.140091122691177,34.5904006644882
"BGD.1.5_1","BGD","Bangladesh","BGD.1_1","Barisal","Patuakhali","Patuakhali",0.460106351310393,0.42,0.68,0.131406373934248,32.4460182553699
"BGD.2.9_1","BGD","Bangladesh","BGD.2_1","Chittagong","Lakshmipur","Lakshmipur",0.263464608527208,0.72,0.6,0.113816710883754,28.1028915762356
"BGD.1.3_1","BGD","Bangladesh","BGD.1_1","Barisal","Bhola","Bhola",0.384804993455325,0.45,0.65,0.112555460585683,27.7914717495513
"BGD.2.10_1","BGD","Bangladesh","BGD.2_1","Chittagong","Noakhali","Noakhali",0.198079464268922,0.65,0.55,0.0708134084761396,17.4847922163308
"BGD.2.7_1","BGD","Bangladesh","BGD.2_1","Chittagong","Feni","Feni",0.13479954563578,0.78,0.5,0.052571822797954,12.9806969871491
"BGD.2.4_1","BGD","Bangladesh","BGD.2_1","Chittagong","Chittagong","Chittagong",0.0655819704091857,0.92,0.4,0.0241341651105803,5.95905311372354
"BGD.2.6_1","BGD","Bangladesh","BGD.2_1","Chittagong","Cox'S Bazar","Cox's Bazar",0,0.6,0.42,0,0
