year_dec,rlr_mm,missing,flag,station
 1944,  6893,N,000,Chattogram
 1945,  6968,N,000,Chattogram
 1946,  6990,N,000,Chattogram
 1947,  7016,N,000,Chattogram
 1948,  6950,N,000,Chattogram
 1949,  6921,N,000,Chattogram
 1950,  6950,N,000,Chattogram
 1951,  7053,N,000,Chattogram
 1952,  6988,N,000,Chattogram
 1953,  6969,N,000,Chattogram
 1954,  6917,Y,000,Chattogram
 1955,  7025,N,000,Chattogram
 1956,  6887,N,000,Chattogram
 1957,  6939,N,000,Chattogram
 1958,  6974,N,000,Chattogram
 1959,  6964,N,000,Chattogram
 1960,  6979,N,000,Chattogram
 1961,  6937,N,000,Chattogram
 1962,  6930,N,000,Chattogram
 1963,-99999,N,000,Chattogram
 1964,  7064,N,000,Chattogram
 1965,  6984,N,000,Chattogram
 1966,  7016,N,000,Chattogram
 1967,  6967,N,000,Chattogram
 1968,  7033,N,000,Chattogram
 1969,  7107,N,000,Chattogram
 1970,  7048,N,000,Chattogram
 1971,  7013,N,000,Chattogram
 1972,  7043,N,000,Chattogram
 1973,  7021,N,000,Chattogram
 1974,  7025,N,000,Chattogram
 1975,  7021,N,000,Chattogram
 1976,  7011,N,000,Chattogram
 1977,  7047,N,000,Chattogram
 1978,  7033,N,000,Chattogram
 1979,  7058,N,000,Chattogram
 1980,  7034,N,000,Chattogram
 1981,  7029,N,000,Chattogram
 1982,  7026,Y,000,Chattogram
 1983,  7045,N,000,Chattogram
 1984,  7007,N,000,Chattogram
 1985,  7039,N,000,Chattogram
 1986,  7002,N,000,Chattogram
 1987,  7080,N,000,Chattogram
 1988,  7111,N,000,Chattogram
 1989,  7041,N,000,Chattogram
 1990,  7045,N,000,Chattogram
 1991,-99999,N,000,Chattogram
 1992,  6989,N,000,Chattogram
 1993,  7040,N,000,Chattogram
 1994,-99999,N,000,Chattogram
 1995,  7110,Y,000,Chattogram
 1996,  7138,Y,000,Chattogram
 1997,  7139,N,000,Chattogram
 1998,  7074,N,000,Chattogram
 1999,  7050,Y,000,Chattogram
 2000,  7070,N,000,Chattogram
 2001,  7070,Y,000,Chattogram
 2002,-99999,N,000,Chattogram
 2003,  7075,N,000,Chattogram
 2004,-99999,N,000,Chattogram
 2005,  7044,Y,000,Chattogram
 2006,  7082,N,000,Chattogram
 2007,  7080,N,000,Chattogram
 2008,  7093,N,000,Chattogram
 2009,  7125,N,000,Chattogram
 2010,  7161,N,000,Chattogram
 2011,  7112,N,000,Chattogram
 2012,  7107,N,000,Chattogram
 2013,  7140,N,000,Chattogram
 2014,  7165,N,000,Chattogram
 2015,  7113,N,000,Chattogram
 2016,  7141,N,000,Chattogram
 2017,  7113,N,000,Chattogram
 2018,  7138,N,000,Chattogram
 1944,  6856,N,000,Sandwip
 1945,  6898,N,000,Sandwip
 1946,  6911,N,000,Sandwip
 1947,  7060,N,000,Sandwip
 1948,  7044,N,000,Sandwip
 1949,  6981,N,000,Sandwip
 1950,  6971,N,000,Sandwip
 1951,  6943,N,000,Sandwip
 1952,  6952,N,000,Sandwip
 1953,  6925,N,000,Sandwip
 1954,  6916,N,000,Sandwip
 1955,-99999,N,000,Sandwip
 1956,  6894,N,000,Sandwip
 1957,  6903,N,000,Sandwip
 1958,  6932,N,000,Sandwip
 1959,  6920,N,000,Sandwip
 1960,  6978,N,000,Sandwip
 1961,  6961,N,000,Sandwip
 1962,  6945,N,000,Sandwip
 1963,  6973,Y,000,Sandwip
 1964,  6952,N,000,Sandwip
 1965,  7000,N,000,Sandwip
 1966,  7041,N,000,Sandwip
 1967,  7020,N,000,Sandwip
 1968,  7053,N,000,Sandwip
 1969,  7057,N,000,Sandwip
 1970,  7006,N,000,Sandwip
 1971,  6987,N,000,Sandwip
 1972,  7000,N,000,Sandwip
 1973,  6905,N,000,Sandwip
 1974,  6922,N,000,Sandwip
 1975,  6941,N,000,Sandwip
 1976,  6993,N,000,Sandwip
 1977,  7021,N,000,Sandwip
 1978,  7014,N,000,Sandwip
 1979,  7046,N,000,Sandwip
 1980,  7026,N,000,Sandwip
 1981,  7014,N,000,Sandwip
 1982,  7007,N,000,Sandwip
 1983,  7013,Y,000,Sandwip
 1984,-99999,N,000,Sandwip
 1985,-99999,N,000,Sandwip
 1986,  6987,N,000,Sandwip
 1987,  7055,N,000,Sandwip
 1988,  7038,Y,000,Sandwip
 1989,  7067,Y,000,Sandwip
 1990,  6998,N,000,Sandwip
 1991,-99999,N,000,Sandwip
 1992,-99999,N,000,Sandwip
 1993,  7013,Y,000,Sandwip
 1994,-99999,N,000,Sandwip
 1995,  7006,N,000,Sandwip
 1996,  7065,N,000,Sandwip
 1997,  7056,N,000,Sandwip
 1998,  7059,N,000,Sandwip
 1999,-99999,N,000,Sandwip
 2000,  7031,N,000,Sandwip
 2001,  7073,N,000,Sandwip
 2002,  7062,N,000,Sandwip
 2003,  7069,N,000,Sandwip
 2004,  7053,N,000,Sandwip
 2005,  7032,N,000,Sandwip
 2006,  7064,N,000,Sandwip
 2007,  7042,N,000,Sandwip
 2008,  7067,N,000,Sandwip
 2009,  7086,N,000,Sandwip
 2010,  7114,N,000,Sandwip
 2011,  7069,N,000,Sandwip
 2012,  7077,N,000,Sandwip
 2013,  7104,N,000,Sandwip
 2014,  7136,N,000,Sandwip
 2015,  7080,N,000,Sandwip
 2016,  7099,N,000,Sandwip
 2017,  7078,N,000,Sandwip
 2018,  7104,N,000,Sandwip
 1944,  6928,Y,000,Khulna_area
 1945,-99999,N,000,Khulna_area
 1946,  6962,Y,000,Khulna_area
 1947,  6842,N,000,Khulna_area
 1948,  6900,N,000,Khulna_area
 1949,  6888,Y,000,Khulna_area
 1950,  6917,N,000,Khulna_area
 1951,  6900,N,000,Khulna_area
 1952,-99999,N,000,Khulna_area
 1953,  6935,N,000,Khulna_area
 1954,  6924,N,000,Khulna_area
 1955,  6890,N,000,Khulna_area
 1956,  6872,N,000,Khulna_area
 1957,  6921,N,000,Khulna_area
 1958,  6902,Y,000,Khulna_area
 1959,-99999,N,000,Khulna_area
 1960,-99999,N,000,Khulna_area
 1961,  6950,Y,000,Khulna_area
 1962,  6864,Y,000,Khulna_area
 1963,  6869,N,000,Khulna_area
 1964,  6896,N,000,Khulna_area
 1965,  6873,N,000,Khulna_area
 1966,  6906,N,000,Khulna_area
 1967,  6974,N,000,Khulna_area
 1968,  6872,N,000,Khulna_area
 1969,  6902,Y,000,Khulna_area
 1970,  6919,N,000,Khulna_area
 1971,  6938,N,000,Khulna_area
 1972,  6908,N,000,Khulna_area
 1973,  6912,N,000,Khulna_area
 1974,  6940,N,000,Khulna_area
 1975,  6858,Y,000,Khulna_area
 1976,  6831,N,000,Khulna_area
 1977,  6857,Y,000,Khulna_area
 1978,-99999,N,000,Khulna_area
 1979,-99999,N,000,Khulna_area
 1980,-99999,N,000,Khulna_area
 1981,  6908,N,000,Khulna_area
 1982,  6954,N,000,Khulna_area
 1983,  6938,Y,000,Khulna_area
 1984,  6851,Y,000,Khulna_area
 1985,  6896,Y,000,Khulna_area
 1986,  6909,Y,000,Khulna_area
 1987,  6884,N,000,Khulna_area
 1988,  6941,N,000,Khulna_area
 1989,  6979,N,000,Khulna_area
 1990,  6999,Y,000,Khulna_area
 1991,  6876,N,000,Khulna_area
 1992,  6921,N,000,Khulna_area
 1993,  6896,N,000,Khulna_area
 1994,  6920,N,000,Khulna_area
 1995,  6904,N,000,Khulna_area
 1996,  6839,N,000,Khulna_area
 1997,  6906,N,000,Khulna_area
 1998,  6943,N,000,Khulna_area
 1999,  6955,N,000,Khulna_area
 2000,  6940,N,000,Khulna_area
 2001,  6908,N,000,Khulna_area
 2002,  6951,N,000,Khulna_area
 2003,  6930,N,000,Khulna_area
 2004,  6946,N,000,Khulna_area
 2005,  6933,N,000,Khulna_area
 2006,  6946,N,000,Khulna_area
 2007,  6955,N,000,Khulna_area
 2008,  6978,N,000,Khulna_area
 2009,  6951,N,000,Khulna_area
 2010,  6891,N,000,Khulna_area
 2011,  6985,N,000,Khulna_area
 2012,  6936,N,000,Khulna_area
 2013,  6933,N,000,Khulna_area
 2014,  6960,N,000,Khulna_area
 2015,  7003,N,000,Khulna_area
 2016,  6947,N,000,Khulna_area
 2017,  6986,N,000,Khulna_area
 2018,  6945,N,000,Khulna_area
 2019,  6949,N,000,Khulna_area
 2020,  7026,N,000,Khulna_area
 2021,  6930,N,000,Khulna_area
 2022,  6989,N,000,Khulna_area
 2023,  6995,N,000,Khulna_area
 2024,  7045,N,000,Khulna_area
 2025,  6997,N,000,Khulna_area
"<!DOCTYPE HTML PUBLIC ""-//IETF//DTD HTML 2.0//EN"">",NA,NA,NA,Kolkata_Haldia
<html><head>,NA,NA,NA,Kolkata_Haldia
<title>404 Not Found</title>,NA,NA,NA,Kolkata_Haldia
</head><body>,NA,NA,NA,Kolkata_Haldia
