"year","eustatic_cm","subsidence_cm","relative_slr_cm"
1969,-0.430110182017469,0,0
1970,-0.368149788586135,1.16166666666667,1.223627060098
1971,-0.29955426773768,2.32333333333333,2.45388924761312
1972,-0.0323661163193327,3.485,3.88274406569814
1973,-0.0281721093961473,4.64666666666667,5.04860473928799
1974,0.107075555189656,5.80833333333333,6.34551907054046
1975,-0.0495822134454623,6.97,7.35052796857201
1976,0.032968645371311,8.13166666666667,8.59474549405545
1977,0.123247990388041,9.29333333333333,9.84669150573884
1978,0.205911245579426,10.455,11.0910214275969
1979,0.308621058956323,11.6166666666667,12.3553979076405
1980,-0.0545067735734796,12.7783333333333,13.1539367417773
1981,0.44604346473291,13.94,14.8161536467504
1982,0.172131190393663,15.1016666666667,15.7039080390778
1983,0.534588882054779,16.2633333333333,17.2280323974056
1984,0.779685484101572,17.425,18.634795666119
1985,0.60503566285973,18.5866666666667,19.6218125115439
1986,0.584979303149738,19.7483333333333,20.7634228185005
1987,0.555285345051868,20.91,21.8953955270693
1988,0.531932452949431,22.0716666666667,23.0337093016336
1989,0.769613809383834,23.2333333333333,24.4330573247346
1990,0.736642311992856,24.395,25.5617524940103
1991,0.562681710479104,25.5566666666667,26.5494585591632
1992,0.907661140822199,26.7183333333333,28.056104656173
1993,0.879073310102717,27.88,29.1891834921202
1994,0.883587831144518,29.0416666666667,30.3553646798287
1995,0.940802067548395,30.2033333333333,31.5742455828992
1996,1.19099578724171,31.365,32.9861059692592
1997,1.05841747830174,32.5266666666667,34.0151943269859
1998,1.25498024135648,33.6883333333333,35.3734237567073
1999,1.30376703396236,34.85,36.5838772159798
2000,0.970988602355968,36.0116666666667,37.4127654510401
2001,1.29531032879209,37.1733333333333,38.8987538441429
2002,1.32066349068924,38.335,40.0857736727067
2003,1.52204741205452,39.4966666666667,41.4488242607387
2004,1.29622099162729,40.6583333333333,42.3846645069781
2005,1.28292858775517,41.82,43.5330387697726
2006,1.31960418692402,42.9816666666667,44.7313810356082
2007,1.57035899159897,44.1433333333333,46.1438025069498
2008,1.32936183099899,45.305,47.0644720130165
2009,1.66239258581894,46.4666666666667,48.5591694345031
2010,1.68511153928871,47.6283333333333,49.7435550546395
2011,1.86499972608174,48.79,51.0851099080992
2012,1.82152638517344,49.9516666666667,52.2033032338576
2013,1.84840775411251,51.1133333333333,53.3918512694633
2014,2.30878828348747,52.275,55.0138984655049
2015,1.61888533759894,53.4366666666667,55.4856621862831
2016,1.99350078720783,54.5983333333333,57.0219443025586
2017,2.27977734619651,55.76,58.469887528214
2018,1.85393664201474,56.9216666666667,59.2057134906989
2019,2.12429426881728,58.0833333333333,60.6377377841681
2020,1.89708654161589,59.245,61.5721967236334
2021,2.15111007716296,60.4066666666667,62.9878869258471
2022,2.38064795160932,61.5683333333333,64.3790914669601
2023,2.19632597039264,62.73,65.3564361524101
2024,2.53528363277721,63.8916666666667,66.8570604814613
