"year","ssp126_global_cm","ssp245_global_cm","ssp585_global_cm","subsidence_component_cm","ssp126_relative_cm","ssp245_relative_cm","ssp585_relative_cm","ssp126_lo80","ssp126_hi80","ssp126_lo95","ssp126_hi95","ssp245_lo80","ssp245_hi80","ssp245_lo95","ssp245_hi95","ssp585_lo80","ssp585_hi80","ssp585_lo95","ssp585_hi95"
2025,10.1,10.1,10.1,0,10.1,10.1,10.1,9.85655137691583,10.3434486230842,9.7276774605413,10.4723225394587,9.85655137691583,10.3434486230842,9.7276774605413,10.4723225394587,9.85655137691583,10.3434486230842,9.7276774605413,10.4723225394587
2026,10.4,10.66,11.06,1.16166666666667,11.5616666666667,11.8216666666667,12.2216666666667,11.21737832216,11.9059550111734,11.035123081787,12.0882102515463,11.47737832216,12.1659550111734,11.295123081787,12.3482102515463,11.87737832216,12.5659550111734,11.695123081787,12.7482102515463
2027,10.7,11.22,12.02,2.32333333333333,13.0233333333333,13.5433333333333,14.3433333333333,12.6016679491189,13.4449987175478,12.3784517781878,13.6682148884789,13.1216679491189,13.9649987175478,12.8984517781878,14.1882148884789,13.9216679491189,14.7649987175478,13.6984517781878,14.9882148884789
2028,11,11.78,12.98,3.485,14.485,15.265,16.465,13.9981027538317,14.9718972461683,13.7403549210826,15.2296450789174,14.7781027538317,15.7518972461683,14.5203549210826,16.0096450789174,15.9781027538317,16.9518972461683,15.7203549210826,17.2096450789174
2029,11.3,12.34,13.94,4.64666666666667,15.9466666666667,16.9866666666667,18.5866666666667,15.4022989964217,16.4910343369116,15.1141281588817,16.7792051744517,16.4422989964217,17.5310343369116,16.1541281588817,17.8192051744517,18.0422989964217,19.1310343369116,17.7541281588817,19.4192051744517
2030,11.6,12.9,14.9,5.80833333333333,17.4083333333333,18.7083333333333,20.7083333333333,16.812008428194,18.0046582384727,16.4963330919223,18.3203335747444,18.112008428194,19.3046582384727,17.7963330919223,19.6203335747444,20.112008428194,21.3046582384727,19.7963330919223,21.6203335747444
2031,11.895,13.455,15.855,6.97,18.865,20.425,22.825,18.2208954862982,19.5091045137018,17.8799271530883,19.8500728469117,19.7808954862982,21.0691045137018,19.4399271530883,21.4100728469117,22.1808954862982,23.4691045137018,21.8399271530883,23.8100728469117
2032,12.19,14.01,16.81,8.13166666666667,20.3216666666667,22.1416666666667,24.9416666666667,19.6330899776533,21.01024335568,19.2685794969073,21.374753836426,21.4530899776533,22.83024335568,21.0885794969073,23.194753836426,24.2530899776533,25.63024335568,23.8885794969073,25.994753836426
2033,12.485,14.565,17.765,9.29333333333333,21.7783333333333,23.8583333333333,27.0583333333333,21.0479874640808,22.5086792025858,20.6613657149572,22.8953009517094,23.1279874640808,24.5886792025858,22.7413657149572,24.9753009517094,26.3279874640808,27.7886792025858,25.9413657149572,28.1753009517094
2034,12.78,15.12,18.72,10.455,23.235,25.575,29.175,22.4651478578222,24.0048521421778,22.0576127510926,24.4123872489074,24.8051478578222,26.3448521421778,24.3976127510926,26.7523872489074,28.4051478578222,29.9448521421778,27.9976127510926,30.3523872489074
2035,13.075,15.675,19.675,11.6166666666667,24.6916666666667,27.2916666666667,31.2916666666667,23.8842389281678,25.4990944051655,23.4568125022899,25.9265208310435,26.4842389281678,28.0990944051655,26.0568125022899,28.5265208310435,30.4842389281678,32.0990944051655,30.0568125022899,32.5265208310435
2036,13.37,16.23,20.63,12.7783333333333,26.1483333333333,29.0083333333333,33.4083333333333,25.3050025649044,26.9916641017623,24.8585702230423,27.4380964436244,28.1650025649044,29.8516641017623,27.7185702230423,30.2980964436244,32.5650025649044,34.2516641017623,32.1185702230423,34.6980964436244
2037,13.665,16.785,21.585,13.94,27.605,30.725,35.525,26.7272335065289,28.4827664934711,26.2625719929707,28.9474280070293,29.8472335065289,31.6027664934711,29.3825719929707,32.0674280070293,34.6472335065289,36.4027664934711,34.1825719929707,36.8674280070293
2038,13.96,17.34,22.54,15.1016666666667,29.0616666666667,32.4416666666667,37.6416666666667,28.1507653278038,29.9725680055295,27.6685632866386,30.4547700466947,31.5307653278038,33.3525680055295,31.0485632866386,33.8347700466947,36.7307653278039,38.5525680055295,36.2485632866386,39.0347700466947
2039,14.255,17.895,23.495,16.2633333333333,30.5183333333333,34.1583333333333,39.7583333333333,29.5754608704712,31.4612057961954,29.0763343385921,31.9603323280745,33.2154608704712,35.1012057961954,32.7163343385921,35.6003323280745,38.8154608704712,40.7012057961954,38.3163343385921,41.2003323280745
