"","Satkhira","Khulna","Bagerhat","Pirojpur","Barguna","Patuakhali","Bhola","Lakshmipur","Noakhali","Feni","Chittagong","Cox's Bazar"
"Satkhira",1,0.965,0.993,0.964,0.988,1,0.978,0.985,0.995,0.971,0.945,0.885
"Khulna",0.965,1,0.988,1,0.991,0.964,0.997,0.981,0.977,0.971,0.972,0.976
"Bagerhat",0.993,0.988,1,0.988,0.999,0.993,0.996,0.986,0.992,0.971,0.955,0.932
"Pirojpur",0.964,1,0.988,1,0.992,0.963,0.998,0.978,0.974,0.967,0.967,0.977
"Barguna",0.988,0.991,0.999,0.992,1,0.988,0.998,0.982,0.987,0.966,0.953,0.943
"Patuakhali",1,0.964,0.993,0.963,0.988,1,0.978,0.98,0.992,0.965,0.937,0.884
"Bhola",0.978,0.997,0.996,0.998,0.998,0.978,1,0.98,0.982,0.966,0.959,0.961
"Lakshmipur",0.985,0.981,0.986,0.978,0.982,0.98,0.98,1,0.997,0.997,0.987,0.923
"Noakhali",0.995,0.977,0.992,0.974,0.987,0.992,0.982,0.997,1,0.99,0.973,0.909
"Feni",0.971,0.971,0.971,0.967,0.966,0.965,0.966,0.997,0.99,1,0.994,0.916
"Chittagong",0.945,0.972,0.955,0.967,0.953,0.937,0.959,0.987,0.973,0.994,1,0.938
"Cox's Bazar",0.885,0.976,0.932,0.977,0.943,0.884,0.961,0.923,0.909,0.916,0.938,1
