"district","lon","lat","district_relative_slr_cm","pop_density_km2","slr_hazard_norm","pop_exposure_norm","flood_risk_score","flood_risk_class"
"Satkhira",89.07,22.71,150.5,750,1,0.141791044776119,0.141791044776119,"High"
"Khulna",89.55,22.82,134,850,0.748091603053435,0.216417910447761,0.16190042155634,"Very High"
"Bagerhat",89.79,22.65,132,620,0.717557251908397,0.0447761194029851,0.0321294291899282,"Low"
"Pirojpur",89.98,22.58,126,780,0.625954198473282,0.164179104477612,0.102768599749345,"Moderate"
"Barguna",90.11,22.16,123.5,560,0.587786259541985,0,0,"Very Low"
"Patuakhali",90.35,22.35,120,600,0.534351145038168,0.0298507462686567,0.0159507804489005,"Very Low"
"Bhola",90.78,22.19,117,680,0.488549618320611,0.0895522388059701,0.0437507120884129,"Low"
"Lakshmipur",90.85,22.94,109,1450,0.366412213740458,0.664179104477612,0.243363335991797,"Very High"
"Noakhali",91.1,22.87,105.5,1100,0.312977099236641,0.402985074626866,0.126125099692378,"High"
"Feni",91.4,23.02,98.5,1700,0.206106870229008,0.850746268656716,0.175344650791842,"Very High"
"Chittagong",91.8,22.36,92,1900,0.106870229007634,1,0.106870229007634,"Moderate"
"Cox's Bazar",91.98,21.44,85,900,0,0.253731343283582,0,"Very Low"
