"district","ewl_100yr_m","design_wind_speed_ms","elevation_m","district_relative_slr_cm","potential_inundation_depth_m","hazard_index"
"Satkhira",3.78,61,1.2,150.5,4.085,0.927619047619048
"Khulna",3.62,59,1.5,134,3.46,0.768028792912514
"Bagerhat",3.7,60,1.8,132,3.22,0.770730897009967
"Pirojpur",3.5,57.5,2.1,126,2.66,0.602115171650055
"Barguna",3.94,63,1.9,123.5,3.275,0.886976744186047
"Patuakhali",3.86,62,2.3,120,2.76,0.778925802879291
"Bhola",3.74,60.5,2,117,2.91,0.745570321151717
"Lakshmipur",3.38,56,2.8,109,1.67,0.40968992248062
"Noakhali",3.3,55,3.1,105.5,1.255,0.315592469545958
"Feni",3.22,54,3.6,98.5,0.605,0.188704318936877
"Chittagong",3.1,52.5,4.5,92,0,0.05
"Cox's Bazar",3.34,55.5,5.2,85,0,0.158571428571429
