"Variable","X.IncMSE","IncNodePurity"
"hazard_index",-4.33711327616932,0.0388888995564594
"district_relative_slr_cm",-7.75226516346662,0.0379858414771726
"ewl_100yr_m",-3.86137148129512,0.0369166931042149
"potential_inundation_depth_m",-6.519023386292,0.0337944971216343
"elevation_m",-4.76495809414367,0.0330306907351082
"damage_fraction",-4.16476209149202,0.0323937237710631
"vulnerability_index",-7.41188226808489,0.0317696597501386
"design_wind_speed_ms",-4.87143907091202,0.0308565055076383
"agri_pct_2075",-8.55298245117476,0.022991772289647
"natural_buffer_pct_2075",-6.42752669766433,0.0206091478821239
"pop_density_projected_km2",-5.85435803434056,0.0197138943056533
"exposure_index",-8.63934732807741,0.0189503429121979
"urban_pct_2075",-6.5197175085622,0.017667314916713
"svi_score",-9.42244496990183,0.0167409848240986
"transport_nodes_n",-8.09142701666696,0.00900052635533888
"water_treatment_n",-8.51357364216661,0.008204393777814
"defence_design_return_period_yrs",-8.61944326083593,0.00800581498238988
"power_plants_n",-6.38127212770103,0.00427754629412748
