"district","lon","lat","year","scenario","subsidence_mm_yr","district_relative_slr_cm","risk_class","modified_subsidence","modified_slr","variation"
"Satkhira",89.07,22.71,2075,"SSP1-2.6",18.5,117.5,"SEVERE",14.8,94,-20
"Khulna",89.55,22.82,2075,"SSP1-2.6",15.2,101,"SEVERE",12.16,80.8,-20
"Bagerhat",89.79,22.65,2075,"SSP1-2.6",14.8,99,"SEVERE",11.84,79.2,-20
"Pirojpur",89.98,22.58,2075,"SSP1-2.6",13.6,93,"SEVERE",10.88,74.4,-20
"Barguna",90.11,22.16,2075,"SSP1-2.6",13.1,90.5,"SEVERE",10.48,72.4,-20
"Patuakhali",90.35,22.35,2075,"SSP1-2.6",12.4,87,"SEVERE",9.92,69.6,-20
"Bhola",90.78,22.19,2075,"SSP1-2.6",11.8,84,"SEVERE",9.44,67.2,-20
"Lakshmipur",90.85,22.94,2075,"SSP1-2.6",10.2,76,"SEVERE",8.16,60.8,-20
"Noakhali",91.1,22.87,2075,"SSP1-2.6",9.5,72.5,"SEVERE",7.6,58,-20
"Feni",91.4,23.02,2075,"SSP1-2.6",8.1,65.5,"SEVERE",6.48,52.4,-20
"Chittagong",91.8,22.36,2075,"SSP1-2.6",6.8,59,"HIGH-SEVERE",5.44,47.2,-20
"Cox's Bazar",91.98,21.44,2075,"SSP1-2.6",5.4,52,"HIGH-SEVERE",4.32,41.6,-20
"Satkhira",89.07,22.71,2075,"SSP2-4.5",18.5,130.5,"SEVERE",14.8,104.4,-20
"Khulna",89.55,22.82,2075,"SSP2-4.5",15.2,114,"SEVERE",12.16,91.2,-20
"Bagerhat",89.79,22.65,2075,"SSP2-4.5",14.8,112,"SEVERE",11.84,89.6,-20
"Pirojpur",89.98,22.58,2075,"SSP2-4.5",13.6,106,"SEVERE",10.88,84.8,-20
"Barguna",90.11,22.16,2075,"SSP2-4.5",13.1,103.5,"SEVERE",10.48,82.8,-20
"Patuakhali",90.35,22.35,2075,"SSP2-4.5",12.4,100,"SEVERE",9.92,80,-20
"Bhola",90.78,22.19,2075,"SSP2-4.5",11.8,97,"SEVERE",9.44,77.6,-20
"Lakshmipur",90.85,22.94,2075,"SSP2-4.5",10.2,89,"SEVERE",8.16,71.2,-20
"Noakhali",91.1,22.87,2075,"SSP2-4.5",9.5,85.5,"SEVERE",7.6,68.4,-20
"Feni",91.4,23.02,2075,"SSP2-4.5",8.1,78.5,"SEVERE",6.48,62.8,-20
"Chittagong",91.8,22.36,2075,"SSP2-4.5",6.8,72,"SEVERE",5.44,57.6,-20
"Cox's Bazar",91.98,21.44,2075,"SSP2-4.5",5.4,65,"SEVERE",4.32,52,-20
"Satkhira",89.07,22.71,2075,"SSP5-8.5",18.5,150.5,"SEVERE",14.8,120.4,-20
"Khulna",89.55,22.82,2075,"SSP5-8.5",15.2,134,"SEVERE",12.16,107.2,-20
"Bagerhat",89.79,22.65,2075,"SSP5-8.5",14.8,132,"SEVERE",11.84,105.6,-20
"Pirojpur",89.98,22.58,2075,"SSP5-8.5",13.6,126,"SEVERE",10.88,100.8,-20
"Barguna",90.11,22.16,2075,"SSP5-8.5",13.1,123.5,"SEVERE",10.48,98.8,-20
"Patuakhali",90.35,22.35,2075,"SSP5-8.5",12.4,120,"SEVERE",9.92,96,-20
"Bhola",90.78,22.19,2075,"SSP5-8.5",11.8,117,"SEVERE",9.44,93.6,-20
"Lakshmipur",90.85,22.94,2075,"SSP5-8.5",10.2,109,"SEVERE",8.16,87.2,-20
"Noakhali",91.1,22.87,2075,"SSP5-8.5",9.5,105.5,"SEVERE",7.6,84.4,-20
